timestamp,node_id,battery_voltage,battery_pct,wake_reason,sensor0,sensor1,tx_attempts,tx_success,sleep_duration_s,active_duration_s,rssi
2025-11-25T22:16:17.501814,node01,4.2,100.0,scheduled,20.4,0.0,0,0,30,0.67,-79
2025-11-25T22:16:17.501814,node02,4.2,99.99,event,19.91,1.0,3,3,300,3.38,-83
2025-11-25T22:16:17.501814,node03,4.2,100.0,scheduled,19.04,0.0,0,0,60,0.61,-83
2025-11-25T22:16:57.501814,node01,4.2,100.0,scheduled,20.17,0.0,0,0,30,0.91,-81
2025-11-25T22:17:27.501814,node03,4.2,100.0,scheduled,20.11,0.0,0,0,120,0.52,-72
2025-11-25T22:17:37.501814,node01,4.2,100.0,event,20.08,1.0,1,1,300,3.1,-71
2025-11-25T22:19:37.501814,node03,4.2,100.0,scheduled,19.64,0.0,0,0,120,1.23,-75
2025-11-25T22:21:27.501814,node02,4.2,99.99,scheduled,20.38,0.0,0,0,300,1.31,-86
2025-11-25T22:21:47.501814,node03,4.2,100.0,scheduled,19.8,0.0,0,0,30,0.59,-75
2025-11-25T22:22:27.501814,node03,4.2,100.0,scheduled,19.96,0.0,0,0,120,1.53,-74
2025-11-25T22:22:47.501814,node01,4.2,100.0,scheduled,20.59,0.0,0,0,300,0.59,-87
2025-11-25T22:24:37.501814,node03,4.2,100.0,event,19.59,1.0,1,1,60,1.78,-75
2025-11-25T22:25:47.501814,node03,4.2,100.0,scheduled,19.69,0.0,0,0,120,1.29,-88
2025-11-25T22:26:37.501814,node02,4.2,99.99,scheduled,20.23,0.0,0,0,60,0.55,-78
2025-11-25T22:27:47.501814,node02,4.2,99.99,event,19.43,1.0,2,2,60,2.52,-80
2025-11-25T22:27:57.501814,node01,4.2,100.0,scheduled,20.72,0.0,0,0,30,0.8,-67
2025-11-25T22:27:57.501814,node03,4.2,100.0,scheduled,19.48,0.0,0,0,60,1.36,-78
2025-11-25T22:28:37.501814,node01,4.2,100.0,scheduled,19.73,0.0,0,0,30,0.72,-75
2025-11-25T22:28:57.501814,node02,4.2,99.99,scheduled,20.29,0.0,0,0,30,0.73,-78
2025-11-25T22:29:07.501814,node03,4.2,100.0,scheduled,19.17,0.0,0,0,120,1.22,-77
2025-11-25T22:29:17.501814,node01,4.2,100.0,scheduled,18.71,0.0,0,0,120,0.85,-83
2025-11-25T22:29:37.501814,node02,4.2,99.99,scheduled,20.8,0.0,0,0,30,1.1,-72
2025-11-25T22:30:17.501814,node02,4.2,99.99,event,19.39,1.0,1,1,300,2.59,-87
2025-11-25T22:31:17.501814,node03,4.2,100.0,scheduled,20.84,0.0,0,0,30,0.73,-81
2025-11-25T22:31:27.501814,node01,4.2,100.0,scheduled,19.29,0.0,0,0,30,1.09,-88
2025-11-25T22:31:57.501814,node03,4.2,99.99,scheduled,20.87,0.0,0,0,120,1.18,-79
2025-11-25T22:32:07.501814,node01,4.2,99.99,event,20.09,1.0,2,2,120,1.3,-75
2025-11-25T22:34:07.501814,node03,4.2,99.99,scheduled,19.83,0.0,0,0,120,0.53,-76
2025-11-25T22:34:17.501814,node01,4.2,99.99,scheduled,20.13,0.0,0,0,30,1.52,-75
2025-11-25T22:34:57.501814,node01,4.2,99.99,scheduled,20.42,0.0,0,0,300,0.6,-71
2025-11-25T22:35:27.501814,node02,4.2,99.98,event,19.59,1.0,3,3,30,3.02,-68
2025-11-25T22:36:07.501814,node02,4.2,99.98,scheduled,19.69,0.0,0,0,300,0.97,-75
2025-11-25T22:36:17.501814,node03,4.2,99.99,event,20.17,0.0,1,1,300,3.03,-70
2025-11-25T22:40:07.501814,node01,4.2,99.99,scheduled,20.72,0.0,0,0,120,0.66,-84
2025-11-25T22:41:17.501814,node02,4.2,99.98,scheduled,20.26,0.0,0,0,60,0.5,-78
2025-11-25T22:41:27.501814,node03,4.2,99.99,scheduled,20.04,0.0,0,0,30,1.18,-80
2025-11-25T22:42:07.501814,node03,4.2,99.99,scheduled,20.45,0.0,0,0,60,1.23,-79
2025-11-25T22:42:17.501814,node01,4.2,99.99,scheduled,20.1,0.0,0,0,120,0.44,-84
2025-11-25T22:42:27.501814,node02,4.2,99.98,scheduled,19.77,0.0,0,0,30,0.91,-71
2025-11-25T22:43:07.501814,node02,4.2,99.98,scheduled,20.74,0.0,0,0,60,1.39,-73
2025-11-25T22:43:17.501814,node03,4.2,99.99,scheduled,20.23,0.0,0,0,120,0.98,-80
2025-11-25T22:44:17.501814,node02,4.2,99.98,scheduled,21.12,0.0,0,0,120,1.46,-80
2025-11-25T22:44:27.501814,node01,4.2,99.99,scheduled,21.06,0.0,0,0,120,1.08,-74
2025-11-25T22:45:27.501814,node03,4.2,99.99,scheduled,20.89,0.0,0,0,120,1.35,-80
2025-11-25T22:46:27.501814,node02,4.2,99.97,event,19.67,1.0,1,1,300,2.02,-80
2025-11-25T22:46:37.501814,node01,4.2,99.99,scheduled,19.01,0.0,0,0,60,1.17,-79
2025-11-25T22:47:37.501814,node03,4.2,99.99,scheduled,19.65,0.0,0,0,300,0.76,-79
2025-11-25T22:47:47.501814,node01,4.2,99.99,scheduled,20.07,0.0,0,0,300,0.72,-72
2025-11-25T22:51:37.501814,node02,4.2,99.97,event,20.37,1.0,3,2,120,2.73,-66
2025-11-25T22:52:47.501814,node03,4.2,99.99,scheduled,20.47,0.0,0,0,60,0.78,-84
2025-11-25T22:52:57.501814,node01,4.2,99.99,scheduled,19.77,0.0,0,0,300,1.6,-77
2025-11-25T22:53:47.501814,node02,4.2,99.97,scheduled,20.18,0.0,0,0,30,1.39,-76
2025-11-25T22:53:57.501814,node03,4.2,99.99,scheduled,19.96,0.0,0,0,120,0.93,-81
2025-11-25T22:54:27.501814,node02,4.2,99.97,scheduled,20.4,0.0,0,0,60,0.63,-81
2025-11-25T22:55:37.501814,node02,4.2,99.97,scheduled,20.28,0.0,0,0,30,0.47,-85
2025-11-25T22:56:07.501814,node03,4.2,99.99,scheduled,21.0,0.0,0,0,120,1.32,-73
2025-11-25T22:56:17.501814,node02,4.2,99.96,event,21.05,1.0,3,3,30,2.51,-78
2025-11-25T22:56:57.501814,node02,4.2,99.96,scheduled,20.07,0.0,0,0,300,0.66,-77
2025-11-25T22:58:07.501814,node01,4.2,99.98,event,20.29,1.0,2,1,30,2.27,-79
2025-11-25T22:58:17.501814,node03,4.2,99.99,scheduled,19.6,0.0,0,0,60,0.44,-80
2025-11-25T22:58:47.501814,node01,4.2,99.98,scheduled,21.04,0.0,0,0,30,0.41,-82
2025-11-25T22:59:27.501814,node01,4.2,99.98,scheduled,19.69,0.0,0,0,30,1.17,-81
2025-11-25T22:59:27.501814,node03,4.2,99.99,scheduled,20.44,0.0,0,0,60,0.89,-77
2025-11-25T23:00:07.501814,node01,4.2,99.98,scheduled,20.09,0.0,0,0,120,1.27,-79
2025-11-25T23:00:37.501814,node03,4.2,99.99,scheduled,19.83,0.0,0,0,120,1.51,-79
2025-11-25T23:02:07.501814,node02,4.2,99.96,scheduled,20.0,0.0,0,0,120,0.85,-79
2025-11-25T23:02:17.501814,node01,4.2,99.98,scheduled,20.12,0.0,0,0,120,0.53,-87
2025-11-25T23:02:47.501814,node03,4.2,99.99,scheduled,19.9,0.0,0,0,30,1.0,-75
2025-11-25T23:03:27.501814,node03,4.2,99.99,event,21.09,1.0,1,1,300,2.15,-87
2025-11-25T23:04:17.501814,node02,4.2,99.96,scheduled,19.47,0.0,0,0,60,0.58,-81
2025-11-25T23:04:27.501814,node01,4.2,99.98,scheduled,19.75,0.0,0,0,60,0.85,-80
2025-11-25T23:05:27.501814,node02,4.2,99.96,scheduled,20.46,0.0,0,0,120,1.24,-78
2025-11-25T23:05:37.501814,node01,4.2,99.98,scheduled,20.19,0.0,0,0,120,0.4,-87
2025-11-25T23:07:37.501814,node02,4.2,99.96,scheduled,20.24,0.0,0,0,120,0.81,-86
2025-11-25T23:07:47.501814,node01,4.2,99.98,scheduled,20.45,0.0,0,0,120,1.58,-76
2025-11-25T23:08:37.501814,node03,4.2,99.99,scheduled,20.09,0.0,0,0,60,0.77,-80
2025-11-25T23:09:47.501814,node02,4.2,99.96,scheduled,20.01,0.0,0,0,120,1.17,-86
2025-11-25T23:09:47.501814,node03,4.2,99.99,scheduled,20.41,0.0,0,0,30,0.49,-73
2025-11-25T23:09:57.501814,node01,4.2,99.98,scheduled,20.13,0.0,0,0,300,0.49,-72
2025-11-25T23:10:27.501814,node03,4.2,99.99,scheduled,19.39,0.0,0,0,60,0.77,-80
2025-11-25T23:11:37.501814,node03,4.2,99.98,scheduled,20.22,0.0,0,0,30,1.14,-83
2025-11-25T23:11:57.501814,node02,4.2,99.96,scheduled,19.34,0.0,0,0,120,1.57,-76
2025-11-25T23:12:17.501814,node03,4.2,99.98,scheduled,19.74,0.0,0,0,120,1.18,-82
2025-11-25T23:14:07.501814,node02,4.2,99.96,scheduled,20.1,0.0,0,0,300,1.41,-87
2025-11-25T23:14:27.501814,node03,4.2,99.98,event,20.18,1.0,2,2,60,2.69,-82
2025-11-25T23:15:07.501814,node01,4.2,99.98,scheduled,20.71,0.0,0,0,300,0.55,-81
2025-11-25T23:15:37.501814,node03,4.2,99.98,scheduled,19.65,0.0,0,0,120,1.56,-74
2025-11-25T23:17:47.501814,node03,4.2,99.98,scheduled,19.38,0.0,0,0,60,1.19,-73
2025-11-25T23:18:57.501814,node03,4.2,99.98,scheduled,19.89,0.0,0,0,120,0.99,-67
2025-11-25T23:19:17.501814,node02,4.2,99.96,scheduled,19.45,0.0,0,0,60,0.66,-80
2025-11-25T23:20:17.501814,node01,4.2,99.98,scheduled,20.41,0.0,0,0,60,1.13,-73
2025-11-25T23:20:27.501814,node02,4.2,99.96,scheduled,20.34,0.0,0,0,30,1.46,-79
2025-11-25T23:21:07.501814,node02,4.2,99.96,scheduled,20.39,0.0,0,0,30,1.58,-82
2025-11-25T23:21:07.501814,node03,4.2,99.98,scheduled,19.74,0.0,0,0,300,1.0,-91
2025-11-25T23:21:27.501814,node01,4.2,99.98,scheduled,20.13,0.0,0,0,300,1.26,-89
2025-11-25T23:21:47.501814,node02,4.2,99.96,scheduled,19.55,0.0,0,0,120,0.76,-79
2025-11-25T23:23:57.501814,node02,4.2,99.96,scheduled,19.91,0.0,0,0,120,0.54,-86
2025-11-25T23:26:07.501814,node02,4.2,99.96,scheduled,19.54,0.0,0,0,300,1.24,-72
2025-11-25T23:26:17.501814,node03,4.2,99.98,scheduled,20.71,0.0,0,0,120,1.1,-74
2025-11-25T23:26:37.501814,node01,4.2,99.98,scheduled,19.79,0.0,0,0,30,1.02,-85
2025-11-25T23:27:17.501814,node01,4.2,99.98,scheduled,20.2,0.0,0,0,60,1.06,-79
2025-11-25T23:28:27.501814,node01,4.2,99.98,event,20.07,1.0,2,2,60,1.99,-82
2025-11-25T23:28:27.501814,node03,4.2,99.98,scheduled,19.42,0.0,0,0,30,0.61,-78
2025-11-25T23:29:07.501814,node03,4.2,99.98,scheduled,19.76,0.0,0,0,300,1.6,-77
2025-11-25T23:29:37.501814,node01,4.2,99.97,event,20.71,1.0,1,1,60,3.42,-83
2025-11-25T23:30:47.501814,node01,4.2,99.97,scheduled,19.62,0.0,0,0,30,1.27,-76
2025-11-25T23:31:17.501814,node02,4.2,99.96,scheduled,20.3,0.0,0,0,60,1.35,-83
2025-11-25T23:31:27.501814,node01,4.2,99.97,event,20.0,1.0,2,2,60,2.61,-90
2025-11-25T23:32:27.501814,node02,4.2,99.96,scheduled,20.49,0.0,0,0,30,1.11,-80
2025-11-25T23:32:37.501814,node01,4.2,99.97,scheduled,20.94,0.0,0,0,30,1.43,-75
2025-11-25T23:33:07.501814,node02,4.2,99.96,scheduled,20.04,0.0,0,0,60,0.59,-76
2025-11-25T23:33:17.501814,node01,4.2,99.96,event,21.08,0.0,2,2,60,3.55,-80
2025-11-25T23:34:17.501814,node02,4.2,99.96,scheduled,20.75,0.0,0,0,60,1.26,-83
2025-11-25T23:34:17.501814,node03,4.2,99.97,event,20.22,1.0,3,3,120,1.63,-72
2025-11-25T23:34:27.501814,node01,4.2,99.96,scheduled,20.59,0.0,0,0,120,1.58,-77
